"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Check defect creation via UI with precondition: project creation using API.","36980","Test defect creation","QASE","Mon Jan 20 20:05:52 GMT 2025","passed","Mon Jan 20 20:06:29 GMT 2025","tests.ui.DefectTest","Chrome","tests.ui.DefectTest","checkCreateDefect"
"Creation of new project named 'QASE' and with code 'AQ'","5132","Create project with filled name and code.","QASE","Mon Jan 20 20:11:57 GMT 2025","passed","Mon Jan 20 20:12:02 GMT 2025","tests.ui.ProjectTest","Edge","tests.ui.ProjectTest","checkCreateProjectWithRequiredFields"
"Check test plan modification via UI with precondition: project, case and plan creation using API.","38468","Test plan modification","QASE","Mon Jan 20 20:21:46 GMT 2025","passed","Mon Jan 20 20:22:24 GMT 2025","tests.ui.TestPlanTest","Edge","tests.ui.TestPlanTest","checkEditPlan"
"Check defect modification via UI with preconditions: project and defect creation using API.","37313","Test defect modification","QASE","Mon Jan 20 20:07:05 GMT 2025","passed","Mon Jan 20 20:07:43 GMT 2025","tests.ui.DefectTest","Chrome","tests.ui.DefectTest","checkEditDefect"
"Check suite creation via UI button '+ Suite' with precondition: project creation using API.","36067","Test suite creation","QASE","Mon Jan 20 20:04:02 GMT 2025","passed","Mon Jan 20 20:04:38 GMT 2025","tests.ui.TestSuiteTest","Chrome","tests.ui.TestSuiteTest","checkCreateSuiteTop"
"Check suite creation via UI button '+ Suite' with precondition: project creation using API.","36964","Test suite creation","QASE","Mon Jan 20 20:14:59 GMT 2025","passed","Mon Jan 20 20:15:36 GMT 2025","tests.ui.TestSuiteTest","Edge","tests.ui.TestSuiteTest","checkCreateSuiteTop"
"Check case creation via UI using 'Create new case' button with precondition: project creation using API.","39089","Test case creation","QASE","Mon Jan 20 20:12:17 GMT 2025","passed","Mon Jan 20 20:12:56 GMT 2025","tests.ui.TestCaseTest","Edge","tests.ui.TestCaseTest","checkCreateCaseMain"
"Check case creation via UI using '+ Case' button with precondition: project creation using API.","40757","Test case creation","QASE","Mon Jan 20 20:02:02 GMT 2025","passed","Mon Jan 20 20:02:43 GMT 2025","tests.ui.TestCaseTest","Chrome","tests.ui.TestCaseTest","checkCreateCaseTop"
"Update created test suite using API.","2006","Update created suite.","QASE","Mon Jan 20 20:00:08 GMT 2025","passed","Mon Jan 20 20:00:10 GMT 2025","tests.api.SuitTest","API","tests.api.SuitTest","updateTestSuite"
"Check suite creation via UI button 'Create new suite' with precondition: project creation using API.","36819","Test suite creation","QASE","Mon Jan 20 20:03:25 GMT 2025","passed","Mon Jan 20 20:04:02 GMT 2025","tests.ui.TestSuiteTest","Chrome","tests.ui.TestSuiteTest","checkCreateSuiteMain"
"Create test run using API functions.","2113","Create test run by API","QASE","Mon Jan 20 20:00:32 GMT 2025","passed","Mon Jan 20 20:00:34 GMT 2025","tests.api.RunsTest","API","tests.api.RunsTest","createNewTestRun"
"Test full defect cycle using all API functions.","1867","Check defect resolving","QASE","Mon Jan 20 20:00:17 GMT 2025","passed","Mon Jan 20 20:00:19 GMT 2025","tests.api.DefectTest","API","tests.api.DefectTest","checkResolveDefect"
"Check case creation via UI using 'Create new case' button with precondition: project creation using API.","38160","Test case creation","QASE","Mon Jan 20 20:01:23 GMT 2025","passed","Mon Jan 20 20:02:02 GMT 2025","tests.ui.TestCaseTest","Chrome","tests.ui.TestCaseTest","checkCreateCaseMain"
"Check case creation via UI using '+ Case' button with precondition: project creation using API.","38482","Test case creation","QASE","Mon Jan 20 20:12:57 GMT 2025","passed","Mon Jan 20 20:13:36 GMT 2025","tests.ui.TestCaseTest","Edge","tests.ui.TestCaseTest","checkCreateCaseTop"
"Check selected test plan removal via UI with precondition: project, case and plans creation using API.","67200","Delete several selected test plans.","QASE","Mon Jan 20 20:20:37 GMT 2025","passed","Mon Jan 20 20:21:44 GMT 2025","tests.ui.TestPlanTest","Edge","tests.ui.TestPlanTest","checkDeleteSelectedPlans"
"Test full defect cycle using all API functions.","1877","Change defect status","QASE","Mon Jan 20 20:00:11 GMT 2025","passed","Mon Jan 20 20:00:13 GMT 2025","tests.api.DefectTest","API","tests.api.DefectTest","checkChangeDefectStatus"
"Check case creation via UI with steps button with precondition: project creation using API.","41292","Test case creation","QASE","Mon Jan 20 20:02:43 GMT 2025","passed","Mon Jan 20 20:03:24 GMT 2025","tests.ui.TestCaseTest","Chrome","tests.ui.TestCaseTest","checkCreateCaseWithSteps"
"Check defect modification via UI with preconditions: project and defect creation using API.","37306","Test defect modification","QASE","Mon Jan 20 20:18:12 GMT 2025","passed","Mon Jan 20 20:18:49 GMT 2025","tests.ui.DefectTest","Edge","tests.ui.DefectTest","checkEditDefect"
"Test full defect cycle using all API functions.","1868","Check defect modification","QASE","Mon Jan 20 20:00:19 GMT 2025","passed","Mon Jan 20 20:00:21 GMT 2025","tests.api.DefectTest","API","tests.api.DefectTest","checkUpdateDefect"
"Creation of new project named 'QASE' and with code 'AQ'","5661","Create project with filled name and code.","QASE","Mon Jan 20 20:01:07 GMT 2025","passed","Mon Jan 20 20:01:12 GMT 2025","tests.ui.ProjectTest","Chrome","tests.ui.ProjectTest","checkCreateProjectWithRequiredFields"
"Check test plan creation via UI with precondition: project and cases creation using API.","36451","Test plan creation","QASE","Mon Jan 20 20:07:43 GMT 2025","passed","Mon Jan 20 20:08:19 GMT 2025","tests.ui.TestPlanTest","Chrome","tests.ui.TestPlanTest","checkCreatePlan"
"Create suite using API","1730","Create suite using API","QASE","Mon Jan 20 20:00:06 GMT 2025","passed","Mon Jan 20 20:00:08 GMT 2025","tests.api.SuitTest","API","tests.api.SuitTest","createTestSuite"
"Check case creation via UI with steps button with precondition: project creation using API.","42472","Test case creation","QASE","Mon Jan 20 20:13:37 GMT 2025","passed","Mon Jan 20 20:14:20 GMT 2025","tests.ui.TestCaseTest","Edge","tests.ui.TestCaseTest","checkCreateCaseWithSteps"
"Create test run using API functions.","2382","Create test run by API","QASE","Mon Jan 20 20:00:29 GMT 2025","passed","Mon Jan 20 20:00:31 GMT 2025","tests.api.RunsTest","API","tests.api.RunsTest","completeTestRun"
"Check suite edit via UI with preconditions: project and suite creation using API.","36855","Test suite modification","QASE","Mon Jan 20 20:16:16 GMT 2025","passed","Mon Jan 20 20:16:53 GMT 2025","tests.ui.TestSuiteTest","Edge","tests.ui.TestSuiteTest","checkEditSuite"
"Get test plan using API functions.","2012","Get test plan via API.","QASE","Mon Jan 20 20:00:24 GMT 2025","passed","Mon Jan 20 20:00:26 GMT 2025","tests.api.PlanTest","API","tests.api.PlanTest","getCreatedPlan"
"Check defect deletion via UI with preconditions: project and defect creation using API.","36784","Test defect removal","QASE","Mon Jan 20 20:17:34 GMT 2025","passed","Mon Jan 20 20:18:10 GMT 2025","tests.ui.DefectTest","Edge","tests.ui.DefectTest","checkDeleteDefect"
"Test full defect cycle using all API functions.","1640","Check defect creation","QASE","Mon Jan 20 20:00:13 GMT 2025","passed","Mon Jan 20 20:00:15 GMT 2025","tests.api.DefectTest","API","tests.api.DefectTest","checkCreateDefect"
"Check defect creation via UI with precondition: project creation using API.","37941","Test defect creation","QASE","Mon Jan 20 20:16:54 GMT 2025","passed","Mon Jan 20 20:17:32 GMT 2025","tests.ui.DefectTest","Edge","tests.ui.DefectTest","checkCreateDefect"
"Creation of new project named 'QASE' with access mode 'Private' for specific group.","6675","Create project with private access (group mode).","QASE","Mon Jan 20 20:00:41 GMT 2025","passed","Mon Jan 20 20:00:47 GMT 2025","tests.ui.ProjectTest","Chrome","tests.ui.ProjectTest","checkCreatePrivateProjectGroupAccess"
"Check defect deletion via UI with preconditions: project and defect creation using API.","35599","Test defect removal","QASE","Mon Jan 20 20:06:29 GMT 2025","passed","Mon Jan 20 20:07:05 GMT 2025","tests.ui.DefectTest","Chrome","tests.ui.DefectTest","checkDeleteDefect"
"Check suite delete via UI with preconditions: project and suite creation using API.","36586","Test suite removal","QASE","Mon Jan 20 20:15:38 GMT 2025","passed","Mon Jan 20 20:16:14 GMT 2025","tests.ui.TestSuiteTest","Edge","tests.ui.TestSuiteTest","checkDeleteSuite"
"Creation of new project named 'QASE'","5290","Create project with filled name.","QASE","Mon Jan 20 20:11:50 GMT 2025","passed","Mon Jan 20 20:11:55 GMT 2025","tests.ui.ProjectTest","Edge","tests.ui.ProjectTest","checkCreateProjectNameOnly"
"Create test case with title and steps using API.","3173","Test case creation using API.","QASE","Mon Jan 20 20:00:00 GMT 2025","passed","Mon Jan 20 20:00:03 GMT 2025","tests.api.CasesTest","API","tests.api.CasesTest","createTestCase"
"Check suite creation via UI button 'Create new suite' with precondition: project creation using API.","36666","Test suite creation","QASE","Mon Jan 20 20:14:21 GMT 2025","passed","Mon Jan 20 20:14:58 GMT 2025","tests.ui.TestSuiteTest","Edge","tests.ui.TestSuiteTest","checkCreateSuiteMain"
"Update test plan using API functions.","2320","Update test plan via API.","QASE","Mon Jan 20 20:00:26 GMT 2025","passed","Mon Jan 20 20:00:28 GMT 2025","tests.api.PlanTest","API","tests.api.PlanTest","updatePlan"
"Test full defect cycle using all API functions.","1901","Check full defect cycle","QASE","Mon Jan 20 20:00:15 GMT 2025","passed","Mon Jan 20 20:00:17 GMT 2025","tests.api.DefectTest","API","tests.api.DefectTest","checkFullDefectCycle"
