"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Check suite edit via UI with preconditions: project and suite creation using API.","36198","Test suite modification","QASE","Mon Jan 20 20:05:15 GMT 2025","passed","Mon Jan 20 20:05:52 GMT 2025","tests.ui.TestSuiteTest","Chrome","tests.ui.TestSuiteTest","checkEditSuite"
"Create new project using available API functions","2113","Create project using API.","QASE","Mon Jan 20 19:59:58 GMT 2025","passed","Mon Jan 20 20:00:00 GMT 2025","tests.api.ProjectTest","API","tests.api.ProjectTest","createNewProject"
"Creation of new project named 'QASE' with access mode 'Public'","4855","Create project with public access.","QASE","Mon Jan 20 20:01:18 GMT 2025","passed","Mon Jan 20 20:01:23 GMT 2025","tests.ui.ProjectTest","Chrome","tests.ui.ProjectTest","checkCreatePublicProject"
"Check selected test plan removal via UI with precondition: project, case and plans creation using API.","67166","Delete several selected test plans.","QASE","Mon Jan 20 20:09:26 GMT 2025","passed","Mon Jan 20 20:10:33 GMT 2025","tests.ui.TestPlanTest","Chrome","tests.ui.TestPlanTest","checkDeleteSelectedPlans"
"Creation of new project named 'QASE'","4665","Create project with filled name.","QASE","Mon Jan 20 20:00:54 GMT 2025","passed","Mon Jan 20 20:00:58 GMT 2025","tests.ui.ProjectTest","Chrome","tests.ui.ProjectTest","checkCreateProjectNameOnly"
"Check test plan creation via UI with precondition: project and cases creation using API.","36378","Test plan creation","QASE","Mon Jan 20 20:18:51 GMT 2025","passed","Mon Jan 20 20:19:27 GMT 2025","tests.ui.TestPlanTest","Edge","tests.ui.TestPlanTest","checkCreatePlan"
"Update created test case using API.","2200","Update created case.","QASE","Mon Jan 20 20:00:04 GMT 2025","passed","Mon Jan 20 20:00:06 GMT 2025","tests.api.CasesTest","API","tests.api.CasesTest","updateTestcase"
"Check test plan removal via UI with precondition: project, case and plan creation using API.","66149","Test plan delete","QASE","Mon Jan 20 20:08:20 GMT 2025","passed","Mon Jan 20 20:09:26 GMT 2025","tests.ui.TestPlanTest","Chrome","tests.ui.TestPlanTest","checkDeletePlan"
"Check test plan removal via UI with precondition: project, case and plan creation using API.","66988","Test plan delete","QASE","Mon Jan 20 20:19:29 GMT 2025","passed","Mon Jan 20 20:20:36 GMT 2025","tests.ui.TestPlanTest","Edge","tests.ui.TestPlanTest","checkDeletePlan"
"Check test plan modification via UI with precondition: project, case and plan creation using API.","38338","Test plan modification","QASE","Mon Jan 20 20:10:34 GMT 2025","passed","Mon Jan 20 20:11:12 GMT 2025","tests.ui.TestPlanTest","Chrome","tests.ui.TestPlanTest","checkEditPlan"
"Creation of new project named 'QASE' with access mode 'Public'","5152","Create project with public access.","QASE","Mon Jan 20 20:12:10 GMT 2025","passed","Mon Jan 20 20:12:15 GMT 2025","tests.ui.ProjectTest","Edge","tests.ui.ProjectTest","checkCreatePublicProject"
"Create test plan using API functions.","1740","Create test plan via API.","QASE","Mon Jan 20 20:00:22 GMT 2025","passed","Mon Jan 20 20:00:23 GMT 2025","tests.api.PlanTest","API","tests.api.PlanTest","createNewPlan"
"Check suite delete via UI with preconditions: project and suite creation using API.","36644","Test suite removal","QASE","Mon Jan 20 20:04:38 GMT 2025","passed","Mon Jan 20 20:05:15 GMT 2025","tests.ui.TestSuiteTest","Chrome","tests.ui.TestSuiteTest","checkDeleteSuite"
"Creation of new project named 'QASE' with access mode 'Private' for specific group.","6805","Create project with private access (group mode).","QASE","Mon Jan 20 20:11:34 GMT 2025","passed","Mon Jan 20 20:11:41 GMT 2025","tests.ui.ProjectTest","Edge","tests.ui.ProjectTest","checkCreatePrivateProjectGroupAccess"
